Supplier_ID,M1_sr,M2_sr,M3_sr,M4_sr,M5_sr,M6_sr,M1_pi,M2_pi,M3_pi,M4_pi,M5_pi,M6_pi,M1_sw,M2_sw,M3_sw,M4_sw,M5_sw,M6_sw,M1_sqc,M2_sqc,M3_sqc,M4_sqc,M5_sqc,M6_sqc
A_{23},0.43696821537385255,0.3756978653530378,0.5283757338551854,0.5581821988767608,0.5258997482507101,0.07728236062263383,0.6143627874972019,0.2929558236368186,0.49291338582677185,0.5110828681664374,0.5991902486600543,0.6248227532480972,0.28988543923797033,0.2250000000000001,0.28083700440528625,0.36153387627671785,0.3414307786381037,-0,0.9642706137923731,0.9744395032291395,0.47416413373860183,0.9705360204338671,0.9741656829668022,0.9652455099807539
A_{24},0.2507336969487663,0.1579638752052545,0.2348336594911934,0.2283907800141772,0.25564085154792343,0.12954520103624648,0.4294095762651389,0.16738800976318968,0.19999999999999984,0.2729609203110986,0.33156017857215536,0.6597892378425686,0.5218591713006488,0.42500000000000004,0.628854625550661,0.6524425221356076,0.6492179935113883,-0,0.9474035108956778,0.9318674484573233,0.3485309017223911,0.9565361941423145,0.9561977435272088,0.9549633306036407
A_{25},0.5667844540955709,0.5914808573157031,0.6457925636007823,0.6938555546447877,0.6780260330720717,0.3238630025906162,0.507426412393859,0.13619023777314543,0.1999999999999998,0.3409051696354867,0.4237585373888463,0.5993158878275547,0.4279545322645746,0.4750000000000001,0.3612334801762116,0.48842758204662934,0.46638196510079416,0.5077758579296158,0.8911448965720792,0.9357650299521364,0.33738601823708203,0.8990866154532029,0.9259484253154837,0.8874822056192339
A_{26},0.5181023197456909,0.5509225650332729,0.5518590998043049,0.6426904598727057,0.6113340717205695,0.3238630025906162,0.4970576968170932,0.4731764851031218,0.17637795275590545,0.37432963964649774,0.41420266116523863,0.7676611996031351,0.14099065922419804,0.09999999999999998,0.1431718061674008,0.1497300079931487,0.15381332862272123,-0,0.9663981619611712,0.9818854547090354,0.5673758865248227,0.9772673283168489,0.9763682437482623,0.9676019737492847
A_{27},0.5531552922078303,0.5851136461844266,0.567514677103718,0.669779593995155,0.6303951461984728,0.38863560310873946,0.5912168685516713,0.33106287821528113,0.4488188976377955,0.5837468723415993,0.597552034384019,0.6597892378425686,0.2499456322096156,0.17499999999999993,0.2268722466960351,0.2752830973074418,0.2758882414083857,0.05314870437625168,0.8547213760239287,0.9086753619868569,0.28064842958459973,0.8408767644799883,0.8945055877751611,0.8709869592395174
A_{28},0.5553257527395138,0.4610837438423646,0.6653620352250484,0.7014716973965548,0.6747730152398381,0.0883653621510141,0.7371707612889099,0.41442494286205,0.7433070866141733,0.7198774620814219,0.7769196698569304,0.7778639457713521,0.3675575033301015,0.275,0.3414096916299558,0.44491181168440636,0.42347301794649417,0.04476200814208164,0.9763565634944059,0.9802393615456858,0.49544072948328277,0.9791024327514745,0.9809527230603292,0.9793842925919394
A_{29},0.4103099115823856,0.2711001642036125,0.44422700587084135,0.39652641262917454,0.44037233385764946,0.3238630025906162,0.002376657884669422,0.2526325468541636,0.07716535433070851,0,0,0.2006980563586089,0.33440690340288165,0.25,0.3204845814977972,0.40905103353063627,0.3851644127127928,0.05314870437625168,0.8695567059174194,0.6579875339221752,0.17527862208713266,0.8695393282309545,0.8965221716242235,0.8709869592395174
A_{30},0.306938084018299,0.29031198686371096,0.3522504892367902,0.4249537880557774,0.381486742825919,0.0883653621510141,0.70339827436759494,0.3542610931113668,0.7622047244094489,0.7131304943240286,0.753718191257398,0.6744357637544931,0.4290624942411484,0.32499999999999996,0.45484581497797366,0.510048918637607,0.5026371639742399,0.016230959302632537,0.9007316988380808,0.9382979435242234,0.38399189463019257,0.9054605519359472,0.9385548955891047,0.8945515969248266
A_{31},0.589202644419968,0.6440886699507389,0.6105675146771034,0.6945542853447751,0.6664541917603028,0.5181808041449859,0.6451234937996488,0.3153759996515244,0.39842519685039396,0.5130455807508358,0.5774041110038165,0.7829653188554604,0.5220702127956659,0.4,0.5925110132158591,0.6297160082903387,0.6188540783832233,0.05314870437625168,0.8505607196618247,0.9077242692431403,0.2573454913880446,0.8343246375058408,0.8978164684134755,0.8450658577856773
A_{32},0.4048939122172646,0.24548440065681443,0.379647749510763,0.39916092860164154,0.41212123382149957,0.3997241577917372,0.6685218315327159,0.4561731568993551,0.4440944881889765,0.6184787491097691,0.6633149018439821,0.7421543341825926,0.38460329186802406,0.44999999999999996,0.3116740088105726,0.44549530902033607,0.428554818279125,0.5077758579296158,0.973684726300962,0.9808959663596643,0.5835866261398176,0.9771937911911674,0.9836171437490887,0.9723149012863466
