Supplier_ID,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
"前车门外拉手 Outer door handle, front _ 6732 _ F49",1,2,6,8,0.4,0.76,0,10,67,4,10,6,4,8,0,10,10,0.08,0.03,1.02,0.00,6.07,139.39
"B柱外部饰板 B-pillar, outer, trim _ 6742 _ F52",0,9,8,0,0,0.46,1,0,147,0,10,10,4,4,4,10,4,0.28,0.31,1.01,0.00,9.26,202.60
"前门框口护边密封条 Door aperture, frt.,edge protection seal _ 6732 _ F49",1,10,0,8,0,0.21,0.4,10,136,4,4,8,0,0,10,10,6,0.08,0.01,1.01,0.00,5.16,101.18
"B柱外部饰板 B-pillar, outer, trim _ 6732 _ F35",1,7,4,4,0.8,0.10,0.8,0,121,6,6,0,4,0,8,10,8,0.05,0.01,1.00,0.00,6.03,63.74
"前方内部车窗导轨槽密封 Waist rail seal, front, inner _ 6732 _ F35",1,12,4,10,0.8,0.17,0.8,0,111,6,6,8,6,4,6,6,4,0.05,0.01,1.00,0.00,4.82,76.60
"前方内部车窗导轨槽密封 Waist rail seal, front, inner _ 6732 _ F49",1,19,6,8,0,0.10,0.6,10,101,0,6,10,0,10,10,0,6,0.11,0.05,1.00,0.00,8.66,494.27
"前车门内饰板 Door trim panel, front _ 6732 _ F52",1,9,8,10,1,0.27,0,10,86,6,4,0,0,6,6,0,0,0.24,0.18,1.01,0.00,4.73,62.39
"前部徽标 Badge, front _ 6732 _ F35",1,18,8,4,0.6,0.75,0.6,4,23,10,10,8,10,6,8,4,10,0.06,0.01,1.01,0.00,5.21,112.64
"外部侧柱导水槽 Side frame, outer, water channel _ 6732 _ F30",1,6,4,4,0.8,0.67,1,10,87,4,6,0,0,8,0,8,6,0.37,0.52,1.02,0.00,6.54,225.05
大灯 Headlight _ 6742 _ F30,0,6,6,10,0.8,0.09,0.4,10,1104,4,8,6,0,4,10,4,0,0.28,0.20,1.00,0.00,4.19,70.34
"手套箱盖 Glove box, lid _ 6732 _ F49",1,1,0,6,0.8,0.32,0.8,4,100,10,0,6,8,0,10,8,4,0.10,0.02,1.00,0.00,6.77,263.45
方向盘 Steering wheel _ 6732 _ F35,1,16,10,6,0.6,0.30,0.8,0,691,4,4,10,4,4,6,4,6,0.05,0.02,1.00,0.00,4.63,105.77
车顶内饰板 Headliner _ 6732 _ F35,1,5,0,0,1,0.48,0.4,8,175,10,10,10,10,8,10,10,10,0.07,0.02,1.00,0.00,5.25,91.34
"A柱内饰板 A-pillar, trim panel, inner _ 6732 _ F35",1,6,6,0,0.4,0.34,0.8,4,113,8,10,4,4,10,8,4,4,0.05,0.01,1.00,0.00,6.63,127.17
"后门车窗导轨条饰板盖板 Window guide rail, rear, Trim _ 6732 _ F30",1,1,0,4,0,0.48,0.4,6,94,4,8,8,0,4,6,10,4,0.28,0.20,1.01,0.00,5.71,118.89
驾驶员搁脚踏板 Driver footrest _ 6732 _ F30,1,5,0,10,0,0.86,0.8,10,176,0,8,6,10,6,10,4,8,0.37,1.64,1.01,0.00,7.87,285.01
"后方内部车窗导轨槽密封件 Waist rail seal, rear, inner _ 6732 _ F35",1,12,4,10,0.4,0.75,0.4,6,93,10,6,8,4,6,10,10,8,0.06,0.01,1.00,0.00,5.42,75.75
"后车窗导向条 Window guide rail, rear _ 6732 _ F30",1,19,6,4,0,0.33,0.4,10,108,10,0,8,6,8,4,10,10,0.33,0.30,1.27,1.16,4.00,79.55
"后部座椅座垫 Rear seat, seat cushion/backrest, padded _ 6732 _ F35",1,11,10,0,0,0.08,0.4,0,465,6,8,0,8,8,8,8,6,0.05,0.01,1.00,0.00,3.98,118.80
"后门三角车窗遮阳卷帘 Triangular window, rear, roller sunblind _ 6732 _ F35",1,13,10,6,0,0.41,0.8,10,142,8,6,6,6,8,4,4,10,0.04,0.01,1.00,0.00,3.17,61.27
"后门框口护边密封条 Door aperture, rear,edge protection seal _ 6732 _ F30",1,20,10,4,1,0.11,1,0,132,6,4,4,6,8,8,0,6,0.23,0.17,1.01,0.00,2.63,33.09
"前部座椅 Seat, front, complete _ 6732 _ F35",1,19,8,10,0.6,0.62,0,0,360,6,0,6,8,8,8,8,8,0.04,0.01,1.03,0.04,6.04,56.18
"后行李箱空气导流板 Tailgate, rear spoiler _ 6732 _ F49",1,7,0,6,0,0.15,0.6,4,122,6,8,6,8,0,0,0,8,0.07,0.02,1.00,0.00,6.88,245.00
"后车门外拉手 Outer door handle, rear _ 6732 _ F49",1,10,6,0,0.4,0.22,0.8,6,63,6,10,0,10,8,6,10,0,0.06,0.03,1.01,0.00,4.60,68.01
"后门车窗导轨条饰板盖板 Window guide rail, rear, Trim _ 6732 _ F35",1,20,8,6,0.6,0.13,1,0,120,8,6,8,8,8,0,6,4,0.05,0.01,1.00,0.00,6.38,98.85
"后门车窗导轨条饰板盖板 Window guide rail, rear, Trim _ 6732 _ F49",1,1,6,0,0.8,0.35,0,0,118,6,8,4,0,0,4,10,6,0.08,0.03,1.00,0.00,5.55,114.97
座椅导轨饰盖 Seat rail protective cap _ 6732 _ F49,1,11,4,4,0.4,0.92,0.6,6,104,4,6,8,0,4,4,10,8,0.06,0.01,1.00,0.00,4.21,90.92
"仪表板新鲜空气出风口 Dashboard, fresh air grille _ 6742 _ F35",0,11,0,0,0.6,0.41,0.8,6,132,6,10,4,8,4,8,4,4,0.04,0.01,1.00,0.00,6.62,273.58
活动天窗密封条 Slide/tilt sunroof seal _ 6742 _ F35,0,17,4,10,0.4,0.83,0.8,6,145,0,8,8,8,10,0,10,6,0.05,0.01,1.00,0.00,4.47,145.77
"收音机 Radio, ECU _ 6732 _ F49",1,14,8,8,0.6,0.72,0.8,8,400,6,6,4,8,8,0,10,6,0.08,0.02,1.21,1.53,6.83,173.73
"C柱内饰板 C-pillar trim panel, inner _ 6732 _ F35",1,20,6,8,1,0.34,0,0,130,4,6,4,4,8,10,4,10,0.06,0.03,1.00,0.00,5.39,211.34
