Supplier_ID,SR_L2,SR_L1,SR_LC,SR_ME,PI_L2,PI_L1,PI_LC,PI_ME,SW_L2,SW_L1,SW_LC,SW_ME,SQC_L2,SQC_L1,SQC_LC,SQC_ME
A_{01},0.674,0.688,0.669,0.662,0.725,0.74,0.719,0.737,0.316,0.362,0.317,0.424,0.548,0.577,0.557,0.411
A_{02},0.84,0.851,0.839,0.835,0.472,0.508,0.481,0.449,0.578,0.575,0.574,0.625,0.801,0.837,0.79,0.89
A_{03},0.408,0.401,0.4,0.349,0.812,0.819,0.823,0.658,0.481,0.465,0.476,0.51,0.174,0.178,0.186,0.069
A_{04},0.387,0.428,0.386,0.417,0.478,0.498,0.48,0.539,0.205,0.232,0.206,0.276,0.846,0.878,0.836,0.932
A_{05},0.341,0.374,0.337,0.356,0.66,0.687,0.672,0.521,0.176,0.204,0.179,0.221,0.815,0.849,0.804,0.905
A_{06},0.344,0.379,0.343,0.361,0.512,0.554,0.52,0.498,0.607,0.61,0.606,0.668,0.793,0.828,0.782,0.874
A_{07},1,1,1,1,0.369,0.381,0.366,0.309,0.576,0.574,0.572,0.625,0.809,0.839,0.799,0.876
A_{08},0.704,0.725,0.7,0.687,0.874,0.916,0.866,0.912,0.749,0.786,0.748,0.849,0.708,0.745,0.704,0.716
A_{09},0.358,0.393,0.354,0.374,0.511,0.578,0.521,0.395,0.346,0.4,0.347,0.462,0.324,0.34,0.34,0.157
A_{10},0.565,0.621,0.561,0.593,0.628,0.603,0.623,0.529,0.31,0.358,0.311,0.416,0.862,0.892,0.853,0.951
A_{11},0.203,0.22,0.199,0.203,0.95,0.95,0.948,0.948,0.247,0.274,0.249,0.352,0.671,0.707,0.665,0.689
A_{12},0.321,0.35,0.318,0.331,0.579,0.545,0.584,0.449,0.4,0.457,0.402,0.541,0.752,0.779,0.744,0.774
A_{13},0.822,0.843,0.82,0.811,0.661,0.706,0.667,0.591,0.438,0.499,0.439,0.586,0.825,0.864,0.813,0.942
A_{14},0.696,0.711,0.691,0.684,0.861,0.874,0.855,0.863,0.412,0.469,0.413,0.549,0.888,0.916,0.88,0.969
A_{15},0.274,0.295,0.255,0.291,0.108,0.114,0.125,0.191,0.397,0.455,0.4,0.54,0.826,0.86,0.816,0.92
A_{16},0.919,0.935,0.917,0.92,0.863,0.877,0.87,0.728,0.399,0.453,0.4,0.542,0.524,0.548,0.534,0.375
A_{17},0.583,0.636,0.564,0.627,0.495,0.504,0.493,0.63,0.519,0.507,0.514,0.552,0.826,0.862,0.813,0.945
